Designator,Mid X,Mid Y,Layer,Rotation
C1,44.05,82.44,Top,270.0
C2,28.65,86.24,Top,180.0
C3,28.72,83.59,Top,180.0
C5,22.65,72.65,Bottom,180.0
C6,28.60,89.12,Top,180.0
C7,10.71,69.39,Bottom,180.0
C8,10.70,67.01,Bottom,180.0
C9,22.81,64.04,Bottom,180.0
C10,50.87,92.52,Top,270.0
C11,22.65,69.84,Bottom,180.0
C12,22.65,66.89,Bottom,180.0
C14,59.36,92.52,Top,270.0
C19,10.70,64.74,Bottom,0.0
C25,76.06,95.21,Top,270.0
C26,70.40,95.14,Top,270.0
CONN2P-3.5PI1,25.99,43.10,Top,180.0
CONN2P-3.5PI2,47.70,97.57,Top,0.0
CONN2P-3.5PI3,57.90,97.58,Top,0.0
CONN3.1,47.29,43.15,Top,180.0
D1,28.70,94.15,Top,180.0
D5,29.33,49.48,Top,90.0
D6,28.70,91.88,Top,180.0
D9,26.96,49.49,Top,90.0
HEADER-3.81-1,40.91,43.09,Top,180.0
IC1,43.66,54.79,Top,90.0
J1,48.92,81.61,Top,90.0
J3,34.69,98.19,Top,180.0
JP1,84.30,64.76,Top,180.0
JP2,84.30,68.11,Top,180.0
JP3,84.30,71.46,Top,180.0
JP4,84.30,74.82,Top,180.0
LORA-NICERF-V1,41.40,70.29,Top,0.0
MD1,62.21,68.83,Top,180.0
POWER,75.58,76.81,Top,0.0
PROSES,75.93,67.60,Top,0.0
PS1,14.69,57.67,Top,180.0
Q1,41.02,96.27,Top,0.0
Q2,45.62,96.28,Top,0.0
Q3,20.04,89.49,Top,300.0
R1,43.80,89.95,Top,180.0
R2,43.48,92.59,Top,0.0
R3,75.70,73.34,Top,180.0
R4,24.52,94.15,Top,180.0
R5,24.52,91.91,Top,180.0
R6,33.31,49.01,Top,180.0
R7,56.99,92.53,Top,270.0
R8,53.60,92.51,Top,270.0
R9,33.31,57.89,Top,180.0
R10,33.32,60.02,Top,180.0
R11,33.33,55.72,Top,180.0
R12,75.69,70.98,Top,180.0
R13,75.49,63.89,Top,180.0
R14,33.31,53.51,Top,180.0
R15,33.33,51.26,Top,180.0
R16,38.65,46.07,Top,0.0
R17,85.08,58.10,Top,0.0
R18,85.08,60.61,Top,0.0
R19,85.08,78.70,Top,0.0
R20,85.11,81.21,Top,0.0
S3,67.99,53.60,Top,270.0
S4,64.28,53.58,Top,270.0
TTL-RS1,51.64,67.55,Bottom,270.0
TTL-RS2,67.12,67.61,Bottom,270.0
U$2,36.79,85.34,Top,270.0
U1,16.42,65.45,Bottom,0.0
U2,16.45,69.93,Bottom,0.0
WARNING,75.87,59.60,Top,0.0
